agrn,lga,extraction_date
"1,070",Bega Valley,2023-10-12 20:47:35
"1,069",Baw Baw,2023-10-12 20:47:36
"1,068",Barkly,2023-10-12 20:47:36
"1,071","Armidale, Kempsey, Clarence Valley, Nambucca",2023-10-12 20:47:37
"1,063","Benalla, Greater Shepparton, Hepburn, Mansfield, Wangaratta",2023-10-12 20:47:38
"1,067","Bulloo, Quilpie",2023-10-12 20:47:39
"1,064",East Arnhem,2023-10-12 20:47:39
"1,059","Broome, East Pilbara, Port Hedland",2023-10-12 20:47:40
"1,062","East Pilbara, Cue, Meekatharra, Murchison, Upper Gascoyne, Wiluna, Greater Geraldton",2023-10-12 20:47:41
"1,061","Beverley, Brookton",2023-10-12 20:47:42
"1,060","Greater Shepparton, Yarra Ranges",2023-10-12 20:47:42
"1,056","Cobar, Upper Lachlan",2023-10-12 20:47:43
"1,057","Cootamundra-Gundagai, Hilltops",2023-10-12 20:47:44
"1,052","Bathurst, Blayney, Bogan, Brewarrina, Cabonne, Coonamble, Cowra, Dubbo, Mid-Western, Upper Hunter, Walgett, Warren",2023-10-12 20:47:45
"1,054","Gwydir, Moree Plains, Narrabri",2023-10-12 20:47:46
"1,051","West Daly, Victoria Daly",2023-10-12 20:47:46
"1,055","Blayney, Cabonne, Cowra, Liverpool Plains, Upper Hunter",2023-10-12 20:47:47
"1,066","Upper Lachlan, Yass Valley",2023-10-12 20:47:50
"1,049","Dubbo, Wollongong",2023-10-12 20:47:51
"1,047",Port Macquarie-Hastings,2023-10-12 20:47:51
"1,048",Western Downs,2023-10-12 20:47:52
"1,065",Cootamundra-Gundagai,2023-10-12 20:47:52
"1,053","Gwydir, Narrabri",2023-10-12 20:47:53
"1,058",Benalla,2023-10-12 20:47:54
